,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration,Metric
68,Autumn_leaves_11.mp4,1920,1080,31.331,29.97,939,1571.365967,48.09116173,1,0.081,0.99151,medium,37.49,43.7421875,1.365541458,45.19,0.988603092,0.766641541,1.608333333,1.897264053,1.668358999,1.183036045,1.359496476,1.199352262,1.603724638,1.410235138,3.6465152
69,Autumn_leaves_11.mp4,1920,1080,31.331,29.97,939,1571.365967,48.09116173,1,0.081,0.99151,slow,69.82,44.23522949,1.380932808,45.47,0.988617514,0.771573598,1.841666667,1.906494818,1.847210075,1.422322552,1.294830532,1.242657279,1.340409611,1.298727966,3.1657708
70,Autumn_leaves_11.mp4,1920,1080,31.331,29.97,939,1571.365967,48.09116173,1,0.081,0.99151,slower,147.87,41.47265625,1.294688225,45.66,0.988763605,0.775786984,2,2,2,2,1,1,1,1,3
71,Autumn_leaves_13.mp4,1920,1080,30.464,29.97,913,1415.46936,42.1216917,1,0.06333,0.99558,superfast,13.29,177.2208252,5.379189491,36.84,0.959018184,0.658406278,1,1,1,1,1,1,1,1,3
72,Autumn_leaves_13.mp4,1920,1080,30.464,29.97,913,1415.46936,42.1216917,1,0.06333,0.99558,veryfast,16.18,182.4455566,5.537778854,37.55,0.969853247,0.685948132,1.348039216,1.667459585,1.44392371,1.016597749,1.326030101,1.061163577,1.64023537,1.420349112,4.1337779
73,Autumn_leaves_13.mp4,1920,1080,30.464,29.97,913,1415.46936,42.1216917,1,0.06333,0.99558,faster,16.2,182.2531738,5.531936646,37.57,0.969902846,0.686192511,1.357843137,1.670514973,1.447862647,1.016712612,1.335523059,1.058910397,1.643055229,1.424062838,4.1577088
74,Autumn_leaves_13.mp4,1920,1080,30.464,29.97,913,1415.46936,42.1216917,1,0.06333,0.99558,fast,20.94,189.1619873,5.741641045,37.78,0.970614287,0.691437525,1.460784314,1.714341033,1.532402565,1.043935217,1.399305522,1.139787644,1.642191014,1.467909636,3.9563564
75,Autumn_leaves_13.mp4,1920,1080,30.464,29.97,913,1415.46936,42.1216917,1,0.06333,0.99558,medium,32.93,230.3786621,6.992693901,38.27,0.973134223,0.704720393,1.700980392,1.869573673,1.746497812,1.112795773,1.52856475,1.622284488,1.680068992,1.56946841,2.9452924
76,Autumn_leaves_13.mp4,1920,1080,30.464,29.97,913,1415.46936,42.1216917,1,0.06333,0.99558,slow,59.13,257.7597656,7.823791504,38.78,0.974931864,0.718308943,1.950980392,1.980311628,1.965520088,1.263266713,1.544393098,1.942816085,1.567611659,1.555902699,2.4026502
77,Autumn_leaves_13.mp4,1920,1080,30.464,29.97,913,1415.46936,42.1216917,1,0.06333,0.99558,slower,187.41,262.6445313,7.972062111,38.88,0.975251471,0.720448141,2,2,2,2,1,2,1,1,1.5
78,Autumn_leaves_15.mp4,1920,1080,30.931,29.97,927,1470.096313,44.41763783,1,0.05347,0.99101,superfast,15.03,165.7999268,5.10984993,37.83,0.965339753,0.682719587,1,1,1,1,1,1,1,1,3
79,Autumn_leaves_15.mp4,1920,1080,30.931,29.97,927,1470.096313,44.41763783,1,0.05347,0.99101,veryfast,18.16,166.9111328,5.14409256,38.46,0.972758203,0.707544054,1.315,1.592133609,1.404524419,1.016886971,1.293162404,1.019477515,1.565693785,1.381200133,4.1590484
80,Autumn_leaves_15.mp4,1920,1080,30.931,29.97,927,1470.096313,44.41763783,1,0.05347,0.99101,faster,18.28,166.6032715,5.1346035,38.47,0.972708897,0.707483533,1.32,1.588198051,1.403538205,1.017534394,1.297253446,1.014080052,1.560829845,1.379352102,4.1786005
81,Autumn_leaves_15.mp4,1920,1080,30.931,29.97,927,1470.096313,44.41763783,1,0.05347,0.99101,fast,25.26,176.8818359,5.451384544,39.02,0.974798468,0.72215346,1.595,1.754985617,1.642590415,1.055192878,1.511571991,1.194267949,1.663189407,1.556673144,3.9617864
82,Autumn_leaves_15.mp4,1920,1080,30.931,29.97,927,1470.096313,44.41763783,1,0.05347,0.99101,medium,35.57,207.3859863,6.391504288,39.31,0.975941575,0.730191187,1.74,1.846227329,1.773568327,1.110817373,1.566414105,1.729016485,1.662043982,1.596633588,2.7906568
